"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0015317","phosphate:proton symporter activity","MF",1,0,0,1,1
"GO:0032454","histone demethylase activity (H3-K9 specific)","MF",2,0,0,1,1
"GO:0004689","phosphorylase kinase activity","MF",5,0,0,1,1
"GO:0048244","phytanoyl-CoA dioxygenase activity","MF",1,0,0,1,1
"GO:0017176","phosphatidylinositol N-acetylglucosaminyltransferase activity","MF",4,0,0,1,1
"GO:0001792","polymeric immunoglobulin receptor activity","MF",1,0,0,1,1
"GO:0016307","phosphatidylinositol phosphate kinase activity","MF",11,0,0,1,1
"GO:0035005","1-phosphatidylinositol-4-phosphate 3-kinase activity","MF",7,0,0,1,1
"GO:0001727","lipid kinase activity","MF",2,0,0,1,1
"GO:0046934","phosphatidylinositol-4,5-bisphosphate 3-kinase activity","MF",4,0,0,1,1
"GO:0052812","phosphatidylinositol-3,4-bisphosphate 5-kinase activity","MF",4,0,0,1,1
"GO:0052813","phosphatidylinositol bisphosphate kinase activity","MF",4,0,0,1,1
"GO:0004430","1-phosphatidylinositol 4-kinase activity","MF",2,0,0,1,1
"GO:0016308","1-phosphatidylinositol-4-phosphate 5-kinase activity","MF",4,0,0,1,1
"GO:0016309","1-phosphatidylinositol-5-phosphate 4-kinase activity","MF",2,0,0,1,1
"GO:0008526","phosphatidylinositol transfer activity","MF",4,0,0,1,1
"GO:0043398","HLH domain binding","MF",2,0,0,1,1
"GO:0048763","calcium-induced calcium release activity","MF",4,0,0,1,1
"GO:0004743","pyruvate kinase activity","MF",2,0,0,1,1
"GO:0047498","calcium-dependent phospholipase A2 activity","MF",6,0,0,1,1
"GO:0030377","urokinase plasminogen activator receptor activity","MF",1,0,0,1,1
"GO:0070290","N-acylphosphatidylethanolamine-specific phospholipase D activity","MF",2,0,0,1,1
"GO:0010997","anaphase-promoting complex binding","MF",3,0,0,1,1
"GO:0042030","ATPase inhibitor activity","MF",2,0,0,1,1
"GO:0008475","procollagen-lysine 5-dioxygenase activity","MF",3,0,0,1,1
"GO:0070815","peptidyl-lysine 5-dioxygenase activity","MF",3,0,0,1,1
"GO:0017128","phospholipid scramblase activity","MF",1,0,0,1,1
"GO:1904121","phosphatidylethanolamine transfer activity","MF",1,0,0,1,1
"GO:0030354","melanin-concentrating hormone activity","MF",2,0,0,1,1
"GO:0031776","melanin-concentrating hormone receptor binding","MF",2,0,0,1,1
"GO:0031777","type 1 melanin-concentrating hormone receptor binding","MF",2,0,0,1,1
"GO:0004615","phosphomannomutase activity","MF",2,0,0,1,1
"GO:0043682","copper transmembrane transporter activity, phosphorylative mechanism","MF",2,0,0,1,1
"GO:0047714","galactolipase activity","MF",1,0,0,1,1
"GO:0102549","1-18:1-2-16:0-monogalactosyldiacylglycerol lipase activity","MF",1,0,0,1,1
"GO:0004603","phenylethanolamine N-methyltransferase activity","MF",1,0,0,1,1
"GO:0001055","RNA polymerase II activity","MF",9,0,0,1,1
"GO:0003968","RNA-directed 5'-3' RNA polymerase activity","MF",3,0,0,1,1
"GO:0001018","mitochondrial promoter sequence-specific DNA binding","MF",3,0,0,1,1
"GO:0070996","type 1 melanocortin receptor binding","MF",1,0,0,1,1
"GO:0004063","aryldialkylphosphatase activity","MF",2,0,0,1,1
"GO:0004064","arylesterase activity","MF",5,0,0,1,1
"GO:0046573","lactonohydrolase activity","MF",3,0,0,1,1
"GO:0102007","acyl-L-homoserine-lactone lactonohydrolase activity","MF",3,0,0,1,1
"GO:0018733","3,4-dihydrocoumarin hydrolase activity","MF",1,0,0,1,1
"GO:0008941","nitric oxide dioxygenase activity","MF",1,0,0,1,1
"GO:0016708","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor","MF",1,0,0,1,1
"GO:0047726","iron-cytochrome-c reductase activity","MF",1,0,0,1,1
"GO:0015616","DNA translocase activity","MF",2,0,0,1,1
"GO:0004427","inorganic diphosphatase activity","MF",1,0,0,1,1
"GO:0070539","linoleic acid binding","MF",1,0,0,1,1
"GO:0050692","DNA binding domain binding","MF",3,0,0,1,1
"GO:0004044","amidophosphoribosyltransferase activity","MF",1,0,0,1,1
"GO:0004490","methylglutaconyl-CoA hydratase activity","MF",1,0,0,1,1
"GO:0050011","itaconyl-CoA hydratase activity","MF",1,0,0,1,1
"GO:0004723","calcium-dependent protein serine/threonine phosphatase activity","MF",7,0,0,1,1
"GO:0033192","calmodulin-dependent protein phosphatase activity","MF",5,0,0,1,1
"GO:0004729","oxygen-dependent protoporphyrinogen oxidase activity","MF",1,0,0,1,1
"GO:0070818","protoporphyrinogen oxidase activity","MF",1,0,0,1,1
"GO:0042131","thiamine phosphate phosphatase activity","MF",1,0,0,1,1
"GO:0052642","lysophosphatidic acid phosphatase activity","MF",1,0,0,1,1
"GO:0097027","ubiquitin-protein transferase activator activity","MF",4,0,0,1,1
"GO:0050115","myosin-light-chain-phosphatase activity","MF",1,0,0,1,1
"GO:0031894","V1A vasopressin receptor binding","MF",2,0,0,1,1
"GO:0031895","V1B vasopressin receptor binding","MF",1,0,0,1,1
"GO:0008995","ribonuclease E activity","MF",1,0,0,1,1
"GO:0003896","DNA primase activity","MF",2,0,0,1,1
"GO:0004679","AMP-activated protein kinase activity","MF",5,0,0,1,1
"GO:0035174","histone serine kinase activity","MF",6,0,0,1,1
"GO:0047322","[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity","MF",2,0,0,1,1
"GO:0050405","[acetyl-CoA carboxylase] kinase activity","MF",2,0,0,1,1
"GO:0004697","protein kinase C activity","MF",13,0,0,1,1
"GO:0035403","histone kinase activity (H3-T6 specific)","MF",2,0,0,1,1
"GO:0004699","calcium-independent protein kinase C activity","MF",2,0,0,1,1
"GO:0004698","calcium-dependent protein kinase C activity","MF",2,0,0,1,1
"GO:0004692","cGMP-dependent protein kinase activity","MF",2,0,0,1,1
"GO:0004705","JUN kinase activity","MF",3,0,0,1,1
"GO:0035033","histone deacetylase regulator activity","MF",4,0,0,1,1
"GO:0008545","JUN kinase kinase activity","MF",2,0,0,1,1
"GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity","MF",2,0,0,1,1
"GO:0004925","prolactin receptor activity","MF",1,0,0,1,1
"GO:0042978","ornithine decarboxylase activator activity","MF",1,0,0,1,1
"GO:0004657","proline dehydrogenase activity","MF",1,0,0,1,1
"GO:0004749","ribose phosphate diphosphokinase activity","MF",4,0,0,1,1
"GO:0016778","diphosphotransferase activity","MF",4,0,0,1,1
"GO:1905573","ganglioside GM1 binding","MF",1,0,0,1,1
"GO:1905574","ganglioside GM2 binding","MF",1,0,0,1,1
"GO:1905575","ganglioside GM3 binding","MF",1,0,0,1,1
"GO:1905577","ganglioside GP1c binding","MF",1,0,0,1,1
"GO:0042500","aspartic endopeptidase activity, intramembrane cleaving","MF",2,0,0,1,1
"GO:0004298","threonine-type endopeptidase activity","MF",17,0,0,1,1
"GO:0070003","threonine-type peptidase activity","MF",17,0,0,1,1
"GO:0047963","glycine N-choloyltransferase activity","MF",1,0,0,1,1
"GO:0052816","long-chain acyl-CoA hydrolase activity","MF",1,0,0,1,1
"GO:0052817","very long chain acyl-CoA hydrolase activity","MF",1,0,0,1,1
"GO:0036402","proteasome-activating ATPase activity","MF",3,0,0,1,1
"GO:0031531","thyrotropin-releasing hormone receptor binding","MF",1,0,0,1,1
"GO:0004647","phosphoserine phosphatase activity","MF",1,0,0,1,1
"GO:0001875","lipopolysaccharide immune receptor activity","MF",4,0,0,1,1
"GO:0038187","pattern recognition receptor activity","MF",7,0,0,1,1
"GO:0008527","taste receptor activity","MF",2,0,0,1,1
"GO:0033038","bitter taste receptor activity","MF",1,0,0,1,1
"GO:0005119","smoothened binding","MF",3,0,0,1,1
"GO:0008158","hedgehog receptor activity","MF",2,0,0,1,1
"GO:0097108","hedgehog family protein binding","MF",2,0,0,1,1
"GO:0051717","inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity","MF",2,0,0,1,1
"GO:0051800","phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity","MF",1,0,0,1,1
"GO:0004667","prostaglandin-D synthase activity","MF",1,0,0,1,1
"GO:0016501","prostacyclin receptor activity","MF",1,0,0,1,1
"GO:0008116","prostaglandin-I synthase activity","MF",1,0,0,1,1
"GO:0031856","parathyroid hormone receptor binding","MF",1,0,0,1,1
"GO:0031857","type 1 parathyroid hormone receptor binding","MF",1,0,0,1,1
"GO:0004666","prostaglandin-endoperoxide synthase activity","MF",2,0,0,1,1
"GO:0004991","parathyroid hormone receptor activity","MF",2,0,0,1,1
"GO:0035373","chondroitin sulfate proteoglycan binding","MF",3,0,0,1,1
"GO:0003874","6-pyruvoyltetrahydropterin synthase activity","MF",1,0,0,1,1
"GO:0016838","carbon-oxygen lyase activity, acting on phosphates","MF",2,0,0,1,1
"GO:0001872","(1->3)-beta-D-glucan binding","MF",1,0,0,1,1
"GO:0033328","peroxisome membrane targeting sequence binding","MF",1,0,0,1,1
"GO:0036105","peroxisome membrane class-1 targeting sequence binding","MF",1,0,0,1,1
"GO:0005052","peroxisome matrix targeting signal-1 binding","MF",1,0,0,1,1
"GO:0004735","pyrroline-5-carboxylate reductase activity","MF",1,0,0,1,1
"GO:0004349","glutamate 5-kinase activity","MF",1,0,0,1,1
"GO:0004350","glutamate-5-semialdehyde dehydrogenase activity","MF",1,0,0,1,1
"GO:0019202","amino acid kinase activity","MF",1,0,0,1,1
"GO:0004306","ethanolamine-phosphate cytidylyltransferase activity","MF",1,0,0,1,1
"GO:0008184","glycogen phosphorylase activity","MF",3,0,0,1,1
"GO:0102250","linear malto-oligosaccharide phosphorylase activity","MF",3,0,0,1,1
"GO:0102499","SHG alpha-glucan phosphorylase activity","MF",3,0,0,1,1
"GO:0004819","glutamine-tRNA ligase activity","MF",1,0,0,1,1
"GO:0004084","branched-chain-amino-acid transaminase activity","MF",2,0,0,1,1
"GO:0052654","L-leucine transaminase activity","MF",2,0,0,1,1
"GO:0052655","L-valine transaminase activity","MF",2,0,0,1,1
"GO:0052656","L-isoleucine transaminase activity","MF",2,0,0,1,1
"GO:0004155","6,7-dihydropteridine reductase activity","MF",1,0,0,1,1
"GO:0070404","NADH binding","MF",2,0,0,1,1
"GO:0003689","DNA clamp loader activity","MF",6,0,0,1,1
"GO:0033170","protein-DNA loading ATPase activity","MF",6,0,0,1,1
"GO:0008821","crossover junction endodeoxyribonuclease activity","MF",2,0,0,1,1
"GO:1990238","double-stranded DNA endodeoxyribonuclease activity","MF",1,0,0,1,1
"GO:0070883","pre-miRNA binding","MF",3,0,0,1,1
"GO:0044323","retinoic acid-responsive element binding","MF",6,0,0,1,1
"GO:0004814","arginine-tRNA ligase activity","MF",1,0,0,1,1
"GO:0003826","alpha-ketoacid dehydrogenase activity","MF",2,0,0,1,1
"GO:0003863","3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity","MF",2,0,0,1,1
"GO:0070336","flap-structured DNA binding","MF",2,0,0,1,1
"GO:0097158","pre-mRNA intronic pyrimidine-rich binding","MF",1,0,0,1,1
"GO:1904768","all-trans-retinol binding","MF",1,0,0,1,1
"GO:0034632","retinol transmembrane transporter activity","MF",1,0,0,1,1
"GO:0009378","four-way junction helicase activity","MF",5,0,0,1,1
"GO:0036310","annealing helicase activity","MF",5,0,0,1,1
"GO:0071532","ankyrin repeat binding","MF",2,0,0,1,1
"GO:0050121","N-acylglucosamine 2-epimerase activity","MF",1,0,0,1,1
"GO:0062072","H3K9me3 modified histone binding","MF",1,0,0,1,1
"GO:0061860","DNA clamp unloader activity","MF",1,0,0,1,1
"GO:0098973","structural constituent of postsynaptic actin cytoskeleton","MF",3,0,0,1,1
"GO:0005502","11-cis retinal binding","MF",2,0,0,1,1
"GO:0098680","template-free RNA nucleotidyltransferase","MF",2,0,0,1,1
"GO:0004522","ribonuclease A activity","MF",2,0,0,1,1
"GO:0071535","RING-like zinc finger domain binding","MF",4,0,0,1,1
"GO:0032184","SUMO polymer binding","MF",2,0,0,1,1
"GO:0008428","ribonuclease inhibitor activity","MF",3,0,0,1,1
"GO:0060698","endoribonuclease inhibitor activity","MF",2,0,0,1,1
"GO:0030627","pre-mRNA 5'-splice site binding","MF",3,0,0,1,1
"GO:0045131","pre-mRNA branch point binding","MF",2,0,0,1,1
"GO:0072518","Rho-dependent protein serine/threonine kinase activity","MF",2,0,0,1,1
"GO:0004750","ribulose-phosphate 3-epimerase activity","MF",1,0,0,1,1
"GO:0004744","retinal isomerase activity","MF",1,0,0,1,1
"GO:0050251","retinol isomerase activity","MF",1,0,0,1,1
"GO:0052884","all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity","MF",1,0,0,1,1
"GO:0052885","all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity","MF",1,0,0,1,1
"GO:1990948","ubiquitin ligase inhibitor activity","MF",4,0,0,1,1
"GO:0070180","large ribosomal subunit rRNA binding","MF",3,0,0,1,1
"GO:1904841","TORC2 complex binding","MF",1,0,0,1,1
"GO:0032358","oxidized pyrimidine DNA binding","MF",1,0,0,1,1
"GO:0004711","ribosomal protein S6 kinase activity","MF",6,0,0,1,1
"GO:0003858","3-hydroxybutyrate dehydrogenase activity","MF",1,0,0,1,1
"GO:0004947","bradykinin receptor activity","MF",2,0,0,1,1
"GO:0004748","ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor","MF",2,0,0,1,1
"GO:0016728","oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor","MF",2,0,0,1,1
"GO:0061731","ribonucleoside-diphosphate reductase activity","MF",2,0,0,1,1
"GO:0010314","phosphatidylinositol-5-phosphate binding","MF",3,0,0,1,1
"GO:0070644","vitamin D response element binding","MF",3,0,0,1,1
"GO:0043924","suramin binding","MF",1,0,0,1,1
"GO:0030379","neurotensin receptor activity, non-G protein-coupled","MF",1,0,0,1,1
"GO:0035662","Toll-like receptor 4 binding","MF",2,0,0,1,1
"GO:0004321","fatty-acyl-CoA synthase activity","MF",1,0,0,1,1
"GO:0047760","butyrate-CoA ligase activity","MF",1,0,0,1,1
"GO:0004828","serine-tRNA ligase activity","MF",1,0,0,1,1
"GO:0004145","diamine N-acetyltransferase activity","MF",2,0,0,1,1
"GO:0019809","spermidine binding","MF",1,0,0,1,1
"GO:0004768","stearoyl-CoA 9-desaturase activity","MF",2,0,0,1,1
"GO:0016215","acyl-CoA desaturase activity","MF",2,0,0,1,1
"GO:0032896","palmitoyl-CoA 9-desaturase activity","MF",1,0,0,1,1
"GO:0086006","voltage-gated sodium channel activity involved in cardiac muscle cell action potential","MF",4,0,0,1,1
"GO:0086062","voltage-gated sodium channel activity involved in Purkinje myocyte action potential","MF",2,0,0,1,1
"GO:0086060","voltage-gated sodium channel activity involved in AV node cell action potential","MF",1,0,0,1,1
"GO:0086061","voltage-gated sodium channel activity involved in bundle of His cell action potential","MF",1,0,0,1,1
"GO:0086063","voltage-gated sodium channel activity involved in SA node cell action potential","MF",1,0,0,1,1
"GO:0033814","propanoyl-CoA C-acyltransferase activity","MF",1,0,0,1,1
"GO:0050632","propionyl-CoA C2-trimethyltridecanoyltransferase activity","MF",1,0,0,1,1
"GO:0046659","digestive hormone activity","MF",1,0,0,1,1
"GO:0015055","secretin receptor activity","MF",1,0,0,1,1
"GO:0031727","CCR2 chemokine receptor binding","MF",2,0,0,1,1
"GO:0031726","CCR1 chemokine receptor binding","MF",5,0,0,1,1
"GO:0047150","betaine-homocysteine S-methyltransferase activity","MF",1,0,0,1,1
"GO:0030298","receptor signaling protein tyrosine kinase activator activity","MF",1,0,0,1,1
"GO:0031729","CCR4 chemokine receptor binding","MF",2,0,0,1,1
"GO:0046817","chemokine receptor antagonist activity","MF",1,0,0,1,1
"GO:0031732","CCR7 chemokine receptor binding","MF",2,0,0,1,1
"GO:0031737","CX3C chemokine receptor binding","MF",1,0,0,1,1
"GO:0045237","CXCR1 chemokine receptor binding","MF",1,0,0,1,1
"GO:0000104","succinate dehydrogenase activity","MF",4,0,0,1,1
"GO:0008177","succinate dehydrogenase (ubiquinone) activity","MF",4,0,0,1,1
"GO:0039552","RIG-I binding","MF",1,0,0,1,1
"GO:0061749","forked DNA-dependent helicase activity","MF",2,0,0,1,1
"GO:0061821","telomeric D-loop binding","MF",3,0,0,1,1
"GO:0061849","telomeric G-quadruplex DNA binding","MF",2,0,0,1,1
"GO:0062037","D-loop DNA binding","MF",3,0,0,1,1
"GO:1905773","8-hydroxy-2'-deoxyguanosine DNA binding","MF",2,0,0,1,1
"GO:0046975","histone methyltransferase activity (H3-K36 specific)","MF",2,0,0,1,1
"GO:0004074","biliverdin reductase activity","MF",2,0,0,1,1
"GO:0016250","N-sulfoglucosamine sulfohydrolase activity","MF",1,0,0,1,1
"GO:0016826","hydrolase activity, acting on acid sulfur-nitrogen bonds","MF",1,0,0,1,1
"GO:0042602","riboflavin reductase (NADPH) activity","MF",1,0,0,1,1
"GO:0004372","glycine hydroxymethyltransferase activity","MF",2,0,0,1,1
"GO:0004793","threonine aldolase activity","MF",2,0,0,1,1
"GO:0008732","L-allo-threonine aldolase activity","MF",2,0,0,1,1
"GO:0050897","cobalt ion binding","MF",2,0,0,1,1
"GO:0004564","beta-fructofuranosidase activity","MF",1,0,0,1,1
"GO:0004574","oligo-1,6-glucosidase activity","MF",1,0,0,1,1
"GO:0004575","sucrose alpha-glucosidase activity","MF",1,0,0,1,1
"GO:0003835","beta-galactoside alpha-2,6-sialyltransferase activity","MF",1,0,0,1,1
"GO:0003836","beta-galactoside (CMP) alpha-2,3-sialyltransferase activity","MF",3,0,0,1,1
"GO:0047288","monosialoganglioside sialyltransferase activity","MF",2,0,0,1,1
"GO:0008118","N-acetyllactosaminide alpha-2,3-sialyltransferase activity","MF",1,0,0,1,1
"GO:0003828","alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity","MF",3,0,0,1,1
"GO:0046811","histone deacetylase inhibitor activity","MF",2,0,0,1,1
"GO:0005283","amino acid:sodium symporter activity","MF",11,1,0,0.0537444187586444,1
"GO:0005314","high-affinity glutamate transmembrane transporter activity","MF",4,1,0,0.0198800959872448,1
"GO:0005343","organic acid:sodium symporter activity","MF",19,1,0,0.0910467654492212,1
"GO:0005416","amino acid:cation symporter activity","MF",11,1,0,0.0537444187586444,1
"GO:0015501","glutamate:sodium symporter activity","MF",4,1,0,0.0198800959872448,1
"GO:0017153","sodium:dicarboxylate symporter activity","MF",6,1,0,0.0296747038364436,1
"GO:0033229","cysteine transmembrane transporter activity","MF",1,0,0,1,1
"GO:0005452","inorganic anion exchanger activity","MF",8,0,0,1,1
"GO:0015193","L-proline transmembrane transporter activity","MF",2,0,0,1,1
"GO:0015194","L-serine transmembrane transporter activity","MF",2,0,0,1,1
"GO:0015195","L-threonine transmembrane transporter activity","MF",1,0,0,1,1
"GO:0022889","serine transmembrane transporter activity","MF",2,0,0,1,1
"GO:0034590","L-hydroxyproline transmembrane transporter activity","MF",1,0,0,1,1
"GO:0055056","D-glucose transmembrane transporter activity","MF",3,0,0,1,1
"GO:0005432","calcium:sodium antiporter activity","MF",5,0,0,1,1
"GO:0005412","glucose:sodium symporter activity","MF",4,0,0,1,1
"GO:0005362","low-affinity glucose:sodium symporter activity","MF",1,0,0,1,1
"GO:0005365","myo-inositol transmembrane transporter activity","MF",1,0,0,1,1
"GO:0005367","myo-inositol:sodium symporter activity","MF",1,0,0,1,1
"GO:0008507","sodium:iodide symporter activity","MF",1,0,0,1,1
"GO:0015373","anion:sodium symporter activity","MF",12,0,0,1,1
"GO:0005332","gamma-aminobutyric acid:sodium symporter activity","MF",4,0,0,1,1
"GO:0015185","gamma-aminobutyric acid transmembrane transporter activity","MF",4,0,0,1,1
"GO:0015355","secondary active monocarboxylate transmembrane transporter activity","MF",8,0,0,1,1
"GO:0140161","monocarboxylate:sodium symporter activity","MF",7,0,0,1,1
"GO:0005330","dopamine:sodium symporter activity","MF",4,0,0,1,1
"GO:0005334","norepinephrine:sodium symporter activity","MF",2,0,0,1,1
"GO:0008504","monoamine transmembrane transporter activity","MF",7,0,0,1,1
"GO:0015378","sodium:chloride symporter activity","MF",10,0,0,1,1
"GO:0005335","serotonin:sodium symporter activity","MF",3,0,0,1,1
"GO:0019811","cocaine binding","MF",1,0,0,1,1
"GO:0005368","taurine transmembrane transporter activity","MF",1,0,0,1,1
"GO:0005369","taurine:sodium symporter activity","MF",1,0,0,1,1
"GO:0042959","alkanesulfonate transmembrane transporter activity","MF",1,0,0,1,1
"GO:0005298","proline:sodium symporter activity","MF",1,0,0,1,1
"GO:0005308","creatine transmembrane transporter activity","MF",1,0,0,1,1
"GO:0005309","creatine:sodium symporter activity","MF",1,0,0,1,1
"GO:0015220","choline transmembrane transporter activity","MF",1,0,0,1,1
"GO:0005295","neutral amino acid:sodium symporter activity","MF",2,0,0,1,1
"GO:0015187","glycine transmembrane transporter activity","MF",2,0,0,1,1
"GO:0015375","glycine:sodium symporter activity","MF",2,0,0,1,1
"GO:0015181","arginine transmembrane transporter activity","MF",2,0,0,1,1
"GO:0015189","L-lysine transmembrane transporter activity","MF",2,0,0,1,1
"GO:0061459","L-arginine transmembrane transporter activity","MF",1,0,0,1,1
"GO:0099580","ion antiporter activity involved in regulation of postsynaptic membrane potential","MF",2,0,0,1,1
"GO:1905060","calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration","MF",2,0,0,1,1
"GO:0086040","sodium:proton antiporter activity involved in regulation of cardiac muscle cell membrane potential","MF",1,0,0,1,1
"GO:0008508","bile acid:sodium symporter activity","MF",2,0,0,1,1
"GO:0008511","sodium:potassium:chloride symporter activity","MF",3,0,0,1,1
"GO:0009674","potassium:sodium symporter activity","MF",3,0,0,1,1
"GO:0015137","citrate transmembrane transporter activity","MF",2,0,0,1,1
"GO:0015142","tricarboxylic acid transmembrane transporter activity","MF",2,0,0,1,1
"GO:0015382","sodium:sulfate symporter activity","MF",1,0,0,1,1
"GO:0015333","peptide:proton symporter activity","MF",2,0,0,1,1
"GO:0071916","dipeptide transmembrane transporter activity","MF",2,0,0,1,1
"GO:0015129","lactate transmembrane transporter activity","MF",3,0,0,1,1
"GO:0015130","mevalonate transmembrane transporter activity","MF",1,0,0,1,1
"GO:0015349","thyroid hormone transmembrane transporter activity","MF",1,0,0,1,1
"GO:0005025","transforming growth factor beta receptor activity, type I","MF",6,0,0,1,1
"GO:0098821","BMP receptor activity","MF",5,0,0,1,1
"GO:0005277","acetylcholine transmembrane transporter activity","MF",2,0,0,1,1
"GO:1901375","acetate ester transmembrane transporter activity","MF",2,0,0,1,1
"GO:0008518","folate:anion antiporter activity","MF",1,0,0,1,1
"GO:0015350","methotrexate transmembrane transporter activity","MF",1,0,0,1,1
"GO:0005316","high-affinity inorganic phosphate:sodium symporter activity","MF",1,0,0,1,1
"GO:0015319","sodium:inorganic phosphate symporter activity","MF",2,0,0,1,1
"GO:0005371","tricarboxylate secondary active transmembrane transporter activity","MF",1,0,0,1,1
"GO:0071913","citrate secondary active transmembrane transporter activity","MF",1,0,0,1,1
"GO:0015132","prostaglandin transmembrane transporter activity","MF",1,0,0,1,1
"GO:0071714","icosanoid transmembrane transporter activity","MF",1,0,0,1,1
"GO:0008513","secondary active organic cation transmembrane transporter activity","MF",2,0,0,1,1
"GO:0015651","quaternary ammonium group transmembrane transporter activity","MF",5,0,0,1,1
"GO:0015226","carnitine transmembrane transporter activity","MF",2,0,0,1,1
"GO:0016362","activin receptor activity, type II","MF",2,0,0,1,1
"GO:0017002","activin-activated receptor activity","MF",6,0,0,1,1
"GO:0004767","sphingomyelin phosphodiesterase activity","MF",2,0,0,1,1
"GO:0061750","acid sphingomyelin phosphodiesterase activity","MF",1,0,0,1,1
"GO:0016768","spermine synthase activity","MF",1,0,0,1,1
"GO:0070990","snRNP binding","MF",6,0,0,1,1
"GO:1990446","U1 snRNP binding","MF",5,0,0,1,1
"GO:0071208","histone pre-mRNA DCP binding","MF",3,0,0,1,1
"GO:1990447","U2 snRNP binding","MF",1,0,0,1,1
"GO:0004309","exopolyphosphatase activity","MF",1,0,0,1,1
"GO:0071209","U7 snRNA binding","MF",1,0,0,1,1
"GO:1990460","leptin receptor binding","MF",3,0,0,1,1
"GO:0004772","sterol O-acyltransferase activity","MF",2,0,0,1,1
"GO:0034736","cholesterol O-acyltransferase activity","MF",2,0,0,1,1
"GO:0000721","(R,R)-butanediol dehydrogenase activity","MF",1,0,0,1,1
"GO:0003939","L-iditol 2-dehydrogenase activity","MF",1,0,0,1,1
"GO:0031320","hexitol dehydrogenase activity","MF",1,0,0,1,1
"GO:0046526","D-xylulose reductase activity","MF",1,0,0,1,1
"GO:0050255","ribitol 2-dehydrogenase activity","MF",1,0,0,1,1
"GO:0003977","UDP-N-acetylglucosamine diphosphorylase activity","MF",1,0,0,1,1
"GO:0004757","sepiapterin reductase activity","MF",1,0,0,1,1
"GO:0047658","alpha-amino-acid esterase activity","MF",1,0,0,1,1
"GO:0004506","squalene monooxygenase activity","MF",1,0,0,1,1
"GO:0003865","3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF",2,0,0,1,1
"GO:0033765","steroid dehydrogenase activity, acting on the CH-CH group of donors","MF",2,0,0,1,1
"GO:0035671","enone reductase activity","MF",4,0,0,1,1
"GO:0047751","cholestenone 5-alpha-reductase activity","MF",2,0,0,1,1
"GO:0009917","sterol 5-alpha reductase activity","MF",1,0,0,1,1
"GO:0047787","delta4-3-oxosteroid 5beta-reductase activity","MF",2,0,0,1,1
"GO:0004766","spermidine synthase activity","MF",1,0,0,1,1
"GO:0005047","signal recognition particle binding","MF",4,0,0,1,1
"GO:0008312","7S RNA binding","MF",6,0,0,1,1
"GO:0030942","endoplasmic reticulum signal peptide binding","MF",3,0,0,1,1
"GO:0004994","somatostatin receptor activity","MF",5,0,0,1,1
"GO:0004304","estrone sulfotransferase activity","MF",1,0,0,1,1
"GO:0047894","flavonol 3-sulfotransferase activity","MF",3,0,0,1,1
"GO:0050294","steroid sulfotransferase activity","MF",4,0,0,1,1
"GO:0009922","fatty acid elongase activity","MF",1,0,0,1,1
"GO:0102336","3-oxo-arachidoyl-CoA synthase activity","MF",1,0,0,1,1
"GO:0102337","3-oxo-cerotoyl-CoA synthase activity","MF",1,0,0,1,1
"GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","MF",1,0,0,1,1
"GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","MF",1,0,0,1,1
"GO:0004062","aryl sulfotransferase activity","MF",3,0,0,1,1
"GO:0070016","armadillo repeat domain binding","MF",3,0,0,1,1
"GO:0032028","myosin head/neck binding","MF",1,0,0,1,1
"GO:0016230","sphingomyelin phosphodiesterase activator activity","MF",2,0,0,1,1
"GO:0030348","syntaxin-3 binding","MF",3,0,0,1,1
"GO:0001691","pseudophosphatase activity","MF",1,0,0,1,1
"GO:0047685","amine sulfotransferase activity","MF",1,0,0,1,1
"GO:0004027","alcohol sulfotransferase activity","MF",1,0,0,1,1
"GO:0008482","sulfite oxidase activity","MF",1,0,0,1,1
"GO:0030151","molybdenum ion binding","MF",1,0,0,1,1
"GO:0047704","bile-salt sulfotransferase activity","MF",1,0,0,1,1
"GO:0003953","NAD+ nucleosidase activity","MF",2,0,0,1,1
"GO:0050135","NAD(P)+ nucleosidase activity","MF",2,0,0,1,1
"GO:0061809","NAD+ nucleotidase, cyclic ADP-ribose generating","MF",2,0,0,1,1
"GO:0061811","ADP-ribosyl cyclase activity","MF",1,0,0,1,1
"GO:0061812","cyclic ADP-ribose hydrolase","MF",1,0,0,1,1
"GO:0016170","interleukin-15 receptor binding","MF",1,0,0,1,1
"GO:0061891","calcium ion sensor activity","MF",1,0,0,1,1
